Device: cuda
Calculated Mean: tensor([0.7715, 0.8988, 0.9856])
Calculated Std: tensor([0.2449, 0.1588, 0.0835])
Dataset: map, Train set: 7350, Val set: 1575
[!] Training from scratch
Epoch 1, Itrs 10/30000, Loss=0.527939
Epoch 1, Itrs 20/30000, Loss=0.088714
Epoch 1, Itrs 30/30000, Loss=0.070802
Epoch 1, Itrs 40/30000, Loss=0.065025
Epoch 1, Itrs 50/30000, Loss=0.052252
Epoch 1, Itrs 60/30000, Loss=0.047360
Epoch 1, Itrs 70/30000, Loss=0.050547
Epoch 1, Itrs 80/30000, Loss=0.045660
Epoch 1, Itrs 90/30000, Loss=0.043565
Epoch 1, Itrs 100/30000, Loss=0.042698
Epoch 1, Itrs 110/30000, Loss=0.042743
Epoch 1, Itrs 120/30000, Loss=0.043942
Epoch 1, Itrs 130/30000, Loss=0.045192
Epoch 1, Itrs 140/30000, Loss=0.047917
Epoch 1, Itrs 150/30000, Loss=0.045053
Epoch 1, Itrs 160/30000, Loss=0.041807
Epoch 1, Itrs 170/30000, Loss=0.040020
Epoch 1, Itrs 180/30000, Loss=0.039538
Epoch 1, Itrs 190/30000, Loss=0.042507
Epoch 1, Itrs 200/30000, Loss=0.044018
Epoch 1, Itrs 210/30000, Loss=0.037828
Epoch 1, Itrs 220/30000, Loss=0.037833
Epoch 1, Itrs 230/30000, Loss=0.040461
Epoch 1, Itrs 240/30000, Loss=0.043197
Epoch 1, Itrs 250/30000, Loss=0.043835
Epoch 1, Itrs 260/30000, Loss=0.040070
Epoch 1, Itrs 270/30000, Loss=0.038300
Epoch 1, Itrs 280/30000, Loss=0.039200
Epoch 1, Itrs 290/30000, Loss=0.032506
Epoch 1, Itrs 300/30000, Loss=0.037580
Epoch 1, Itrs 310/30000, Loss=0.039519
Epoch 1, Itrs 320/30000, Loss=0.034678
Epoch 1, Itrs 330/30000, Loss=0.037793
Epoch 1, Itrs 340/30000, Loss=0.037529
Epoch 1, Itrs 350/30000, Loss=0.035062
Epoch 1, Itrs 360/30000, Loss=0.040564
Epoch 1, Itrs 370/30000, Loss=0.037753
Epoch 1, Itrs 380/30000, Loss=0.038324
Epoch 1, Itrs 390/30000, Loss=0.038895
Epoch 1, Itrs 400/30000, Loss=0.039865
Epoch 1, Itrs 410/30000, Loss=0.037302
Epoch 1, Itrs 420/30000, Loss=0.039995
Epoch 1, Itrs 430/30000, Loss=0.035512
Epoch 1, Itrs 440/30000, Loss=0.036101
Epoch 1, Itrs 450/30000, Loss=0.034395
Epoch 1, Itrs 460/30000, Loss=0.036303
Epoch 1, Itrs 470/30000, Loss=0.038033
Epoch 1, Itrs 480/30000, Loss=0.039332
Epoch 1, Itrs 490/30000, Loss=0.034848
Epoch 1, Itrs 500/30000, Loss=0.039458
