Device: cuda
Calculated Mean: tensor([0.7715, 0.8988, 0.9856])
Calculated Std: tensor([0.2449, 0.1588, 0.0835])
Dataset: map, Train set: 7350, Val set: 1575
[!] Training from scratch
Epoch 1, Itrs 10/30000, Loss=0.524453
Epoch 1, Itrs 20/30000, Loss=0.095992
Epoch 1, Itrs 30/30000, Loss=0.070267
Epoch 1, Itrs 40/30000, Loss=0.057365
Epoch 1, Itrs 50/30000, Loss=0.049904
Epoch 1, Itrs 60/30000, Loss=0.049115
Epoch 1, Itrs 70/30000, Loss=0.051418
Epoch 1, Itrs 80/30000, Loss=0.048027
Epoch 1, Itrs 90/30000, Loss=0.043646
Epoch 1, Itrs 100/30000, Loss=0.047133
Epoch 1, Itrs 110/30000, Loss=0.041303
Epoch 1, Itrs 120/30000, Loss=0.045643
Epoch 1, Itrs 130/30000, Loss=0.045671
Epoch 1, Itrs 140/30000, Loss=0.042134
Epoch 1, Itrs 150/30000, Loss=0.038269
Epoch 1, Itrs 160/30000, Loss=0.040707
Epoch 1, Itrs 170/30000, Loss=0.041110
Epoch 1, Itrs 180/30000, Loss=0.041199
Epoch 1, Itrs 190/30000, Loss=0.041519
Epoch 1, Itrs 200/30000, Loss=0.043044
Epoch 1, Itrs 210/30000, Loss=0.042439
Epoch 1, Itrs 220/30000, Loss=0.039050
Epoch 1, Itrs 230/30000, Loss=0.038470
Epoch 1, Itrs 240/30000, Loss=0.042254
Epoch 1, Itrs 250/30000, Loss=0.040585
Epoch 1, Itrs 260/30000, Loss=0.038750
Epoch 1, Itrs 270/30000, Loss=0.040466
Epoch 1, Itrs 280/30000, Loss=0.036171
Epoch 1, Itrs 290/30000, Loss=0.039430
Epoch 1, Itrs 300/30000, Loss=0.040016
Epoch 1, Itrs 310/30000, Loss=0.038255
Epoch 1, Itrs 320/30000, Loss=0.039079
Epoch 1, Itrs 330/30000, Loss=0.037124
Epoch 1, Itrs 340/30000, Loss=0.040481
Epoch 1, Itrs 350/30000, Loss=0.040367
Epoch 1, Itrs 360/30000, Loss=0.038434
Epoch 1, Itrs 370/30000, Loss=0.038668
Epoch 1, Itrs 380/30000, Loss=0.037041
Epoch 1, Itrs 390/30000, Loss=0.037587
Epoch 1, Itrs 400/30000, Loss=0.036879
Epoch 1, Itrs 410/30000, Loss=0.033908
Epoch 1, Itrs 420/30000, Loss=0.040332
Epoch 1, Itrs 430/30000, Loss=0.038852
Epoch 1, Itrs 440/30000, Loss=0.038808
Epoch 1, Itrs 450/30000, Loss=0.036548
Epoch 2, Itrs 460/30000, Loss=0.037975
Epoch 2, Itrs 470/30000, Loss=0.038283
Epoch 2, Itrs 480/30000, Loss=0.039131
Epoch 2, Itrs 490/30000, Loss=0.036178
Epoch 2, Itrs 500/30000, Loss=0.036682
Epoch 2, Itrs 510/30000, Loss=0.034634
Epoch 2, Itrs 520/30000, Loss=0.037613
Epoch 2, Itrs 530/30000, Loss=0.037112
Epoch 2, Itrs 540/30000, Loss=0.034095
Epoch 2, Itrs 550/30000, Loss=0.036962
Epoch 2, Itrs 560/30000, Loss=0.033664
Epoch 2, Itrs 570/30000, Loss=0.035821
Epoch 2, Itrs 580/30000, Loss=0.035685
Epoch 2, Itrs 590/30000, Loss=0.034924
Epoch 2, Itrs 600/30000, Loss=0.034299
Epoch 2, Itrs 610/30000, Loss=0.033847
Epoch 2, Itrs 620/30000, Loss=0.034582
Epoch 2, Itrs 630/30000, Loss=0.036038
Epoch 2, Itrs 640/30000, Loss=0.035958
Epoch 2, Itrs 650/30000, Loss=0.033492
Epoch 2, Itrs 660/30000, Loss=0.035229
Epoch 2, Itrs 670/30000, Loss=0.037393
Epoch 2, Itrs 680/30000, Loss=0.035361
Epoch 2, Itrs 690/30000, Loss=0.034875
Epoch 2, Itrs 700/30000, Loss=0.031452
Epoch 2, Itrs 710/30000, Loss=0.035816
Epoch 2, Itrs 720/30000, Loss=0.033682
Epoch 2, Itrs 730/30000, Loss=0.033792
Epoch 2, Itrs 740/30000, Loss=0.033752
Epoch 2, Itrs 750/30000, Loss=0.034885
Epoch 2, Itrs 760/30000, Loss=0.033767
Epoch 2, Itrs 770/30000, Loss=0.033482
Epoch 2, Itrs 780/30000, Loss=0.034746
Epoch 2, Itrs 790/30000, Loss=0.035468
Epoch 2, Itrs 800/30000, Loss=0.032288
