Device: cuda
Calculated Mean: tensor([0.7715, 0.8988, 0.9856])
Calculated Std: tensor([0.2449, 0.1588, 0.0835])
Dataset: map, Train set: 7350, Val set: 1575
[!] Training from scratch
Epoch 1, Itrs 10/30000, Loss=0.628045
Epoch 1, Itrs 20/30000, Loss=0.174978
Epoch 1, Itrs 30/30000, Loss=0.127773
Epoch 1, Itrs 40/30000, Loss=0.120811
Epoch 1, Itrs 50/30000, Loss=0.105120
Epoch 1, Itrs 60/30000, Loss=0.104059
Epoch 1, Itrs 70/30000, Loss=0.108430
Epoch 1, Itrs 80/30000, Loss=0.102142
Epoch 1, Itrs 90/30000, Loss=0.092862
Epoch 1, Itrs 100/30000, Loss=0.100936
Epoch 1, Itrs 110/30000, Loss=0.086966
Epoch 1, Itrs 120/30000, Loss=0.095550
Epoch 1, Itrs 130/30000, Loss=0.095634
Epoch 1, Itrs 140/30000, Loss=0.088183
Epoch 1, Itrs 150/30000, Loss=0.080601
Epoch 1, Itrs 160/30000, Loss=0.084504
Epoch 1, Itrs 170/30000, Loss=0.085626
Epoch 1, Itrs 180/30000, Loss=0.085379
Epoch 1, Itrs 190/30000, Loss=0.084414
Epoch 1, Itrs 200/30000, Loss=0.088771
Epoch 1, Itrs 210/30000, Loss=0.086638
Epoch 1, Itrs 220/30000, Loss=0.080821
Epoch 1, Itrs 230/30000, Loss=0.079125
Epoch 1, Itrs 240/30000, Loss=0.085702
Epoch 1, Itrs 250/30000, Loss=0.082764
Epoch 1, Itrs 260/30000, Loss=0.078738
Epoch 1, Itrs 270/30000, Loss=0.082510
Epoch 1, Itrs 280/30000, Loss=0.072920
Epoch 1, Itrs 290/30000, Loss=0.079544
Epoch 1, Itrs 300/30000, Loss=0.080890
Epoch 1, Itrs 310/30000, Loss=0.077358
Epoch 1, Itrs 320/30000, Loss=0.079517
Epoch 1, Itrs 330/30000, Loss=0.076979
Epoch 1, Itrs 340/30000, Loss=0.081885
Epoch 1, Itrs 350/30000, Loss=0.080420
Epoch 1, Itrs 360/30000, Loss=0.078352
Epoch 1, Itrs 370/30000, Loss=0.076936
Epoch 1, Itrs 380/30000, Loss=0.074974
Epoch 1, Itrs 390/30000, Loss=0.075592
Epoch 1, Itrs 400/30000, Loss=0.074089
Epoch 1, Itrs 410/30000, Loss=0.068490
Epoch 1, Itrs 420/30000, Loss=0.081130
Epoch 1, Itrs 430/30000, Loss=0.077990
Epoch 1, Itrs 440/30000, Loss=0.078237
Epoch 1, Itrs 450/30000, Loss=0.073673
Epoch 2, Itrs 460/30000, Loss=0.075817
Epoch 2, Itrs 470/30000, Loss=0.076078
Epoch 2, Itrs 480/30000, Loss=0.078388
Epoch 2, Itrs 490/30000, Loss=0.072993
Epoch 2, Itrs 500/30000, Loss=0.073689
Epoch 2, Itrs 510/30000, Loss=0.069568
Epoch 2, Itrs 520/30000, Loss=0.075580
Epoch 2, Itrs 530/30000, Loss=0.074572
Epoch 2, Itrs 540/30000, Loss=0.068283
Epoch 2, Itrs 550/30000, Loss=0.074305
Epoch 2, Itrs 560/30000, Loss=0.066996
Epoch 2, Itrs 570/30000, Loss=0.070764
Epoch 2, Itrs 580/30000, Loss=0.071573
Epoch 2, Itrs 590/30000, Loss=0.070227
Epoch 2, Itrs 600/30000, Loss=0.068298
Epoch 2, Itrs 610/30000, Loss=0.067932
Epoch 2, Itrs 620/30000, Loss=0.068954
Epoch 2, Itrs 630/30000, Loss=0.070877
Epoch 2, Itrs 640/30000, Loss=0.071135
Epoch 2, Itrs 650/30000, Loss=0.066380
Epoch 2, Itrs 660/30000, Loss=0.069263
Epoch 2, Itrs 670/30000, Loss=0.073992
Epoch 2, Itrs 680/30000, Loss=0.070346
Epoch 2, Itrs 690/30000, Loss=0.069154
Epoch 2, Itrs 700/30000, Loss=0.062712
Epoch 2, Itrs 710/30000, Loss=0.071091
Epoch 2, Itrs 720/30000, Loss=0.066880
Epoch 2, Itrs 730/30000, Loss=0.067459
Epoch 2, Itrs 740/30000, Loss=0.067044
Epoch 2, Itrs 750/30000, Loss=0.068285
Epoch 2, Itrs 760/30000, Loss=0.067186
Epoch 2, Itrs 770/30000, Loss=0.065857
Epoch 2, Itrs 780/30000, Loss=0.068823
Epoch 2, Itrs 790/30000, Loss=0.069566
Epoch 2, Itrs 800/30000, Loss=0.063220
